hscode,mo_ta,Ngay_xac_nhan
03011195,- - - - Cá rồng (Scleropages formosus),26/09/2023 0:00:00
03011199,- - - - Loại khác,26/09/2023 0:00:00
03011910,- - - Cá bột,26/09/2023 0:00:00
03011990,- - - Loại khác,26/09/2023 0:00:00
03019100,"- - Cá hồi chấm (trout) (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache và Oncorhynchus chrysogaster)",26/09/2023 0:00:00
03019200,- - Cá chình (Anguilla spp.),26/09/2023 0:00:00
03019321,"- - - - Để nhân giống, trừ cá bột (SEN)",26/09/2023 0:00:00
03019322,- - - - Cá bột,26/09/2023 0:00:00
03019329,- - - - Loại khác,26/09/2023 0:00:00
03019331,"- - - - Để nhân giống, trừ cá bột (SEN)",26/09/2023 0:00:00
03019332,- - - - Cá bột,26/09/2023 0:00:00
03019339,- - - - Loại khác,26/09/2023 0:00:00
03019400,"- - Cá ngừ vây xanh Đại Tây Dương và Thái Bình Dương (Thunnus thynnus, Thunnus orientalis)",26/09/2023 0:00:00
03019500,- - Cá ngừ vây xanh phương Nam (Thunnus maccoyii),26/09/2023 0:00:00
03019911,- - - - Để nhân giống (SEN),26/09/2023 0:00:00
03019919,- - - - Loại khác,26/09/2023 0:00:00
03019922,"- - - - Cá chép khác, để nhân giống (SEN)",26/09/2023 0:00:00
03019923,- - - - Cá chép loại khác (SEN),26/09/2023 0:00:00
03019924,"- - - - Loại khác, để nhân giống",26/09/2023 0:00:00
03019929,- - - - Loại khác,26/09/2023 0:00:00
03019931,- - - - Cá măng biển để nhân giống (SEN),26/09/2023 0:00:00
03019932,"- - - - Cá măng biển, loại khác (SEN)",26/09/2023 0:00:00
03019933,- - - - Cá mú chấm nhỏ (Plectropomus leopardus)(SEN),26/09/2023 0:00:00
03019934,- - - - Cá mú hoa nâu/cá mú cọp (Epinephelus fuscoguttatus) (SEN),26/09/2023 0:00:00
03019935,- - - - Cá mú dẹt (Cromileptes altivelis) (SEN),26/09/2023 0:00:00
03019936,- - - - Cá mú loại khác,26/09/2023 0:00:00
03019941,- - - - Cá rô phi (Oreochromis spp.)(SEN),26/09/2023 0:00:00
03019942,"- - - - Cá chép khác, để nhân giống (SEN)",26/09/2023 0:00:00
03019949,- - - - Loại khác,26/09/2023 0:00:00
03019950,- - - Cá biển khác,26/09/2023 0:00:00
03019990,- - - Loại khác,26/09/2023 0:00:00
03021100,"- - Cá hồi chấm (trout) (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache và Oncorhynchus chrysogaster)",26/09/2023 0:00:00
03021300,"- - Cá hồi Thái Bình Dương (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou và Oncorhynchus rhodurus)",26/09/2023 0:00:00
03021400,- - Cá hồi Đại Tây Dương (Salmo salar) và cá hồi sông Đa-nuýp (Hucho hucho),26/09/2023 0:00:00
03021900,- - Loại khác,26/09/2023 0:00:00
03022100,"- - Cá bơn lưỡi ngựa(Halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",26/09/2023 0:00:00
03022200,- - Cá bơn sao (Pleuronectes platessa),26/09/2023 0:00:00
03022300,- - Cá bơn sole (Solea spp.),26/09/2023 0:00:00
03022400,- - Cá bơn turbots (Psetta maxima),26/09/2023 0:00:00
03022900,- - Loại khác,26/09/2023 0:00:00
03023100,- - Cá ngừ vây dài (Thunnus alalunga),26/09/2023 0:00:00
03023200,- - Cá ngừ vây vàng (Thunnus albacares),26/09/2023 0:00:00
03023300,- - Cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis),26/09/2023 0:00:00
03023400,- - Cá ngừ mắt to (Thunnus obesus),26/09/2023 0:00:00
03023500,"- - Cá ngừ vây xanh Đại Tây Dương và Thái Bình Dương (Thunnus thynnus, Thunnus orientalis)",26/09/2023 0:00:00
03023600,- - Cá ngừ vây xanh phương Nam (Thunnus maccoyii),26/09/2023 0:00:00
03023900,- - Loại khác,26/09/2023 0:00:00
03024100,"- - Cá trích nước lạnh (Clupea harengus, Clupea pallasii)",26/09/2023 0:00:00
03024200,- - Cá cơm (cá trỏng) (Engraulis spp.),26/09/2023 0:00:00
03024300,"- - Cá trích dầu (Sardina pilchardus, Sardinops spp.), cá trích xương (Sardinella spp.), cá trích kê hoặc cá trích cơm (Sprattus sprattus)",26/09/2023 0:00:00
03024400,"- - Cá nục hoa (Scomber scombrus, Scomber australasicus, Scomber japonicus)",26/09/2023 0:00:00
03024500,- - Cá nục gai và cá sòng (Trachurus spp.),26/09/2023 0:00:00
03024600,- - Cá giò (Rachycentron canadum) ,26/09/2023 0:00:00
03024700,- - Cá kiếm (Xiphias gladius),26/09/2023 0:00:00
03024900,- - Loại khác,26/09/2023 0:00:00
03025100,"- - Cá tuyết (Gadus morhua, Gadus ogac, Gadus macrocephalus)",26/09/2023 0:00:00
03025200,- - Cá tuyết chấm đen (Melanogrammus aeglefinus),26/09/2023 0:00:00
03025300,- - Cá tuyết đen (Pollachius virens),26/09/2023 0:00:00
03025400,"- - Cá tuyết hake (Merluccius spp., Urophycis spp.)",26/09/2023 0:00:00
03025500,- - Cá Minh Thái (Alaska Pollock) (Theragra chalcogramma),26/09/2023 0:00:00
03025600,"- - Cá tuyết lam (Micromesistius poutassou, Micromesistius australis)",26/09/2023 0:00:00
03025900,- - Loại khác,26/09/2023 0:00:00
03027100,- - Cá rô phi (Oreochromis spp.),26/09/2023 0:00:00
03027210,- - - Cá tra đuôi vàng (Pangasius pangasius),26/09/2023 0:00:00
03027290,- - - Loại khác,26/09/2023 0:00:00
03027300,"- - Cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",26/09/2023 0:00:00
03027400,- - Cá chình (Anguilla spp.),26/09/2023 0:00:00
03027900,- - Loại khác,26/09/2023 0:00:00
03028100,- - Cá nhám góc và cá mập khác,26/09/2023 0:00:00
03028200,- - Cá đuối (Rajidae),26/09/2023 0:00:00
03028300,- - Cá răng cưa (Dissostichus spp.),26/09/2023 0:00:00
03028400,- - Cá vược (hoặc cá vược Châu Âu) (Dicentrarchus spp.),26/09/2023 0:00:00
03028500,- - Cá tráp biển (Sparidae),26/09/2023 0:00:00
03028911,- - - - Cá mú ,26/09/2023 0:00:00
03028912,- - - - Cá bạc (Pentaprion longimanus),26/09/2023 0:00:00
03028913,- - - - Cá mối hoa (Trachinocephalus myops),26/09/2023 0:00:00
03028914,"- - - - Cá hố savalai (Lepturacanthus savala), cá đù Belanger (Johnius belangerii), cá đù Reeve (Chrysochir aureus) và cá đù mắt to (Pennahia anea)",26/09/2023 0:00:00
03028915,- - - - Cá nhụ Ấn Độ (Polynemus indicus),26/09/2023 0:00:00
03028916,"- - - - Cá sòng gió (Megalaspis cordyla), cá hiên chấm (Drepane punctata) và cá nhồng lớn (Sphyraena barracuda)",26/09/2023 0:00:00
03028917,- - - - Cá chim đen (Parastromatus niger),26/09/2023 0:00:00
03028918,- - - - Cá hồng bạc (Lutjanus argentimaculatus),26/09/2023 0:00:00
03028919,- - - - Loại khác,26/09/2023 0:00:00
03028922,- - - - Cá đòng đong đầm lầy (Puntius chola),26/09/2023 0:00:00
03028923,- - - - Cá sạo bạc (Pomadasys argenteus),26/09/2023 0:00:00
03028927,- - - - Cá mòi Hilsa (Tenualosa ilisha),26/09/2023 0:00:00
03028928,- - - - Cá leo (Wallago attu) và cá tra dầu (Sperata seenghala),26/09/2023 0:00:00
03028929,- - - - Loại khác,26/09/2023 0:00:00
03029100,"- - Gan, sẹ và bọc trứng cá",26/09/2023 0:00:00
03029200,- - Vây cá mập,26/09/2023 0:00:00
03029900,- - Loại khác,26/09/2023 0:00:00
03031100,- - Cá hồi đỏ (Oncorhynchus nerka),26/09/2023 0:00:00
03031200,"- - Cá hồi Thái Bình Dương khác (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou và Oncorhynchus rhodurus)",26/09/2023 0:00:00
03031300,- - Cá hồi Đại Tây Dương (Salmo salar) và cá hồi sông Đa-nuýp (Hucho hucho),26/09/2023 0:00:00
03031400,"- - Cá hồi chấm (trout) (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache và Oncorhynchus chrysogaster)",26/09/2023 0:00:00
03031900,- - Loại khác,26/09/2023 0:00:00
03032300,- - Cá rô phi (Oreochromis spp.) (SEN),26/09/2023 0:00:00
03032400,"- - Cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",26/09/2023 0:00:00
03032500,"- - Cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",26/09/2023 0:00:00
03032600,- - Cá chình (Anguilla spp.),26/09/2023 0:00:00
03032900,- - Loại khác,26/09/2023 0:00:00
03033100,"- - Cá bơn lưỡi ngựa (Halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",26/09/2023 0:00:00
