hscode,Mô tả sản phẩm
28364000,"NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-DE 311 (Kali carbonat loại hơi loãng dùng trong công nghiệp mạ) (2560Kg = 1882.35Lit ; đơn giá: 35000VND/Kg). Hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-RS 513 Dung dịch mạ đồng IS-RS 513 ( dung dịch tẩy sơn kalicarbonat loại hơi loãng) (1500Kg=1102.94Lit; đơn giá 30000VND/Kg). Hàng mới 100 %"
28416100,".#&Hoá chất Potassium permanganate (KMnO4) 99%, hàng mới 100%#&CN || .#&Hoá chất Potassium permanganate 0.1N-Thuốc tím(dung dịch pha loãng), phân tích nồng độ của dung dịch mạ, dùng trong thí nghiệm,t/p:Potassium permanganate <1% và nước >99%. NSX:OCI.Mới 100%(1L/chai) || .#&Hóa chất Potasium permanganate(500g/ chai), hàng mới 100% || .#&Dung dịch Potasium permanganate 0.1N(1l/ chai), hàng mới 100%"
28470010,".#&Hoá chất Hydrogen Peroxide H2O2 35%, hàng mới 100%"
29051100,".#&Hóa chất Methanol 99%, dạng lỏng. Hàng mới 100%#&ID || .#&Hóa chất Methanol 99%, dạng lỏng. Hàng mới 100%"
29053100,".#&Hóa chất Ethylene glycol(500ml/ chai), hàng mới 100%"
29094300,".#&Butyl Cellosolve-BCS, 180 kg/phuy ( BC)(dung môi dùng trong công nghiệp). Thành phần: CAS NO 111-76-2: 99.9%). Hàng mới 100%"
29221100,.#&VIAKING CONDITIONER DS 280 M: Chế phẩm hóa học dùng trong công nghiệp mạ có thành phần chính là Monoetanolamin và muối của nó; 25Kg/can; cas:141-43-5 (>= 15 -< 20%) || .#&VIAKING CONDITIONER DS 280 M: Chế phẩm hóa học dùng trong công nghiệp mạ có thành phần chính là Monoetanolamin và muối của nó; 25Kg/can; cas:141-43-5 (>= 15 -< 20%); hàng mới 100%
29224900,".#&Hóa chất EDTA 0.1M (1l/ chai), hàng mới 100% || .#&Dung dịch EDTA 0,05M(1l/ chai), hàng mới 100%"
32041210,".#&Thuốc nhuộm axit dùng trong xi mạ (SANODURE BLACK BLX-10, 1KG/EA) (Hàng mới 100%) || .#&Thuốc nhuộm axit dùng trong xi mạ (SANODURE FAST GOLD L, 1KG/EA). Hàng mới 100%"
32041290,.#&Thuốc nhuộm dùng trong xi mạ SANODAL RED B3LW dạng hạt (liti) (1kg/1EA) (Hàng mới 100%)
32041790,".#&Hóa chất TAC BLUE BRL (507) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN || .#&Hóa chất TAC BLACK-SG(B) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN || .#&Hóa chất TAC RED BRL(124) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN || .#&Hóa chất TAC BLACK-SG(B) (Thành Phần: Metal salt, Organic compound, Organic acid salt) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN || .#&Hóa chất TAC RED BRL(124)(Thành Phần: Chromium azo acid complex dyes, Dextrin, Sodium acetate, Sulfamic acid, Bacteria prevention agent)  dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN || .#&Hóa chất TAC BLACK-SG(B) (Thành Phần: Metal salt, Organic compound, Organic acid salt) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)"
32049000,".#&Chế phẩm làm sạch chứa chất hoạt động bề mặt anionic, dạng lỏng (DIA PAT) (20 LTR/UNL). Hàng mới 100%"
32082090,".#&Dung dịch đúc mẫu,1 Lít/1 bottle,TP:Poly(hydroxylethyl methacrylate:methyl methacrylate)trong dung môi hữu cơ,hàm lượng dm>50% theo trọng lượng dung dịch,PTPL số:59/TB-KD2(25/1/2022)#&KR || .#&Sơn dùng sơn vỏ HITHANE HARDENER #6570 (Thành phần: Poly-isocyanate resin: 65-75%, N-Butyl Acetate: 25-35%). Hàng mới 100% || NL211#&Sơn dạng nước UTPR-1GY1-SE2341-1 15 KG (hàng mới 100%) || NL211#&Sơn dạng nước UTPR-1GY1-SE2619 15 KG (hàng mới 100%) || NL211#&Sơn dạng nước UTCC-OCL2-SE2950(MATT) 15 KG (hàng mới 100%) || NL211#&Sơn dạng nước UTCC-OCL2-SE2951(GLOSS) 15KG (hàng mới 100%) || NL211#&Sơn dạng nước UTPT-1GY1-SE2340(MX)-4 15 KG (hàng mới 100%) || NL211#&Sơn dạng nước UTBC-2GYG8470D-7 15 KG (hàng mới 100%) || NL211#&Sơn dạng nước UTPR-1GY1-SE2341-1 15 KG (1,4-Benzenedicarboxylic acidpolymer with decanedioicacid 2,2-dimethyl-1,3-propanediol and 1,2-ethanediol 30-31% CAS:29294-36-8...,hàng mới 100% || NL211#&Sơn dạng nước UTPR-1GY1-SE2619 15 KG (Thành phần: Acrylic Resin 40-41% CAS: 104318-70-9, Methyl isobutyl ketone 19-20% CAS: 108-10-1..), hàng mới 100% || NL211#&Sơn dạng nước UTCC-OCL2-SE2950(MATT) 15 KG (thành phần: Acrylic copolymer 45-50% CAS: 67845-66-3,TOLUEN 23-25% CAS: 108-88-3...) hàng mới 100% || NL211#&Sơn dạng nước UTCC-OCL2-SE2951(GLOSS) 15KG  (Thành phần: Acrylic copolymer 46-47% CAS: 67845-66-3, TOLUEN 29-30% CAS: 108-88-3) ,hàng mới 100% || NL211#&Sơn dạng nước UTPT-1GY1-SE2340(MX)-4 15 KG (Thành phần: Acrylic Resin 38-39% CAS: 104318-70-9,Methyl ethyl ketone 15-16% CAS: 78-93-3...),hàng mới 100% || NL211#&Sơn dạng nước UTBC-2GYG8470D-10 15 KG (thành phần: butylaxetat 10-25% CAS: 123-86-4, Toluen 10-25% CAS: 108-88-3...), hàng mới 100%"
32089090,"NPL23#&Sơn dùng để sơn lên bề mặt sản phẩm, POWDER, AKZONOBEL, INTERPON EC, UL400K, ZALDA201145 || NPL23#&Sơn dùng để sơn lên bề mặt sản phẩm, POWDER, AKZONOBEL, MD408K, ZALDA201001 || .#&Sơn xịt ATM Thường_A214, thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100% || .#&Sơn xịt ATM Thường_A211,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer,dùng để ghi thông tin lên hàng hóa, hàng mới 100% || .#&Sơn xịt ATM Thường_A300,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100% || .#&Sơn xịt ATM Thường_A226,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100% || .#&Sơn xịt ATM Thường_A210,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100% || .#&Sơn xịt ATM Thường_A218,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100% || .#&Sơn xịt ATM Thường_A242,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100% || .#&Sơn xịt ATM Thường_A217,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100% || .#&AT170-BLACK#30(TC)_Sơn dầu(16.5Lt/18Kg/Thùng). Mã Cas: 63148-69-6,1330-20-7,123-86-4,1333-86-4,471-34-1,7631-86-9,9003-08-1."
32099000,".#&RF-6900 BLACK F-1_ Chất phủ sàn ( 18 Kg/Thùng). Mã Cas: 7732-18-5, 1333-86-4, 818-8-6, 1332-58-7.#&KXĐ || .#&RF-6900 BLACK F-2_Chất phủ sàn (16 Kg/Thùng). Mã Cas: 7732-18-5, 111-76-2, 64-19-7"
